ts,CH2,CH3,CH4
20251222_142558,25.3191467917576,2.9327571383049,23.0309691417392
20251222_142649,5.5908333839239,13.1823342147348,356.7154123462617
20251222_142740,44.534837584286,52.5583576469232,11.0425399336454
20251222_142831,208.8758305725866,353.9645183530866,341.0700666138069
20251222_142922,5.9945034707774,18.0065538251232,342.326100012969
20251222_143013,5.3852369481,3.56002069464,338.3037712997761
20251222_143104,323.7169081039283,340.578073892045,301.9755320797754
20251222_143155,49.3915592752526,43.0070731413734,18.6219802505298
20251222_143246,6.2658587127013,6.667862393959,57.1846181072892
20251222_143337,0.2099666466809484,19.0257126612335,338.3084876289294
