ts,CH2,CH3,CH4
20251222_151105,14.758097247318,19.6242940178623,348.8766789784327
20251222_151156,25.0969870940443,41.5347677973366,8.8281061164322
20251222_151247,322.0907751265742,333.351592605962,324.6190575463664
20251222_151338,36.1431401626313,21.4138396981774,4.3639499330131
20251222_151429,353.8652206056435,356.7831844102337,324.0539342895064
20251222_151520,7.9501652333872,15.444287853872,340.0320040616851
20251222_151611,8.90899239844,12.5107534913125,336.0116750817459
20251222_151702,350.1795558605294,329.6261082386169,315.7922012016132
20251222_151753,349.1212014501173,334.0023575153905,321.4595356825421
20251222_151844,26.1714936374858,33.0177775389729,9.8813253487314
20251222_151935,5.2643345946468,340.0819268279033,329.2615536408297
20251222_152026,50.0100816964213,28.673359629401,42.3599989370343
20251222_152117,32.3512826230428,24.9251194879886,21.338012162627
20251222_152208,320.6983859952537,320.1426953773113,316.112445144776
20251222_152259,32.127321952936,26.2982544565434,35.2998731852396
